1,55841
2,13504
3,5977
4,3219
5,2024
6,1351
7,963
8,700
9,540
10,406
11,303
12,249
13,211
14,163
15,135
16,109
17,98
18,84
19,66
20,53
21,47
22,58
23,39
24,40
25,32
26,25
27,28
28,29
29,25
30,31
31,19
32,17
33,14
34,10
35,13
36,16
37,12
38,13
39,6
40,3
41,8
42,9
43,2
44,4
45,4
46,4
47,5
48,8
49,5
50,7
51,5
52,4
53,1
54,2
55,2
56,4
57,2
58,4
59,2
60,2
61,1
62,1
63,3
64,3
65,3
66,3
67,1
68,1
69,2
71,1
73,2
74,3
75,1
77,3
78,3
79,1
80,1
83,1
84,3
89,2
90,1
91,1
92,1
96,1
104,1
110,1
113,1
114,1
118,1
122,1
135,1
138,1
139,1
653,1
145,1
158,1
176,1
194,1
235,1
241,1
242,1
253,1
1801,1
273,1
457,1
